,image_id,caption,perplexity,entropy,filename,questions,jokes
76,77,a baseball player swinging a bat at a ball,0.0001632956846151501,0.0014834469184279442,000000018491.jpg,Why was a baseball player swinging a bat at a ball,"['Why was a baseball player swinging a bat at a ball', 'Because it was a curveball!', 'Why did the comedian go to a Scottish restaurant', ""To eat some chicken! I'm not ashamed."", 'Why do you always buy armed Hummers', 'Because man is machine and man is weapon', 'Why are there no gang violence in Star Trek<eoq']"
77,78,a red fire hydrant sitting in the middle of a field,0.05192186310887337,0.10909108072519302,000000015746.jpg,Why was a red fire hydrant sitting in the middle of a field,"['Why was a red fire hydrant sitting in the middle of a field', 'Because it was clearly stroganoff', 'Why does Dr. Pepper come in a bottle', 'So his wife can suck it and have kids.', 'Why did the little boy in the microwave drown', ""Because the popcorn wasn't big enough."", 'Why did the old man throw the clock outside his window<e']"
78,79,a man is standing next to a bike with a bicycle,0.033510856330394745,0.11232956498861313,000000011149.jpg,Why was a man standing to a bike with a bicycle,"['Why was a man standing to a bike with a bicycle', 'He wanted to have that long ped walk.', 'Why did the dog eat his own arms', 'So it could lay down on the other side! My favorite part', 'Why did the rooster cross the road', 'To come home to play.', 'Why did the Canadian lose the race']"
79,80,a bedroom with a bed in a room with a table,0.03966140374541283,0.056101251393556595,000000010092.jpg,Why must a bedroom with a bed in a room with a table sell punchline to a demon,"['Why must a bedroom with a bed in a room with a table sell punchline to a demon', 'Cause the devil put the punchline on the bed.', 'Why was that moon so happy', 'Because we athered  the storm.', 'Why was the pencil laughing', ""It was sketchy. I'm so sorry."", 'Why do some pianos cry', 'Because they were holding up with']"
80,81,a plane is sitting on top of an airport runway,0.08937621861696243,0.13221602141857147,000000013348.jpg,Why was a plane sitting on top of an airport runway,"['Why was a plane sitting on top of an airport runway', 'Because it wanted to land at the other end.', 'Why does Santa have such a beautiful garden', 'So he can hoe-hoe-hoe-hoe.', 'Why does a dog scratch itself', ""Because it's a catty-gone canine."", 'Why do people use arrays instead of fixed cells<e']"
81,82,a desk with a laptop computer sitting on top of it,0.03982500731945038,0.05766557157039642,000000016439.jpg,Why was a desk with a laptop computer sitting on top of it,"['Why was a desk with a laptop computer sitting on top of it', 'It was bored.', 'Why do black people have nightmares', 'Because one had a dream and died', 'Why did the algebra teacher fall asleep', 'Because he spied the class doing some trigonometry!', 'Why should all porn directors be virgins', ""They're paid to fuck the""]"
82,83,a group of chairs and umbrellas on a beach,0.0011858290527015924,0.009114688262343407,000000016451.jpg,Why has a group of chairs and umbrellas on a beach always befriended,"['Why has a group of chairs and umbrellas on a beach always befriended', 'Because it is a group of foreign friends on your land.', 'Why do fast food restaurants only ever serve 1 side pork', 'Because side dish is plain.', ""Why don't women care that they are fat, wrinkly, disgusting, and ugly"", 'Because they will still make mistakes.', ""Why don't people""]"
83,84,a group of kites flying in the sky,0.014494296163320541,0.06602498888969421,000000017959.jpg,Why was a group of kites flying in the sky,"['Why was a group of kites flying in the sky', ""Because de-course it was de-cobblin'."", 'Why were the natives in America first', 'Because them and theirs was a system.', 'Why did the pony take a ruler to bed', 'To see how long his bed had been beat.', 'Why did the star go to the bathroom<']"
84,85,a stop sign on the side of a street,0.005282283294945955,0.02805435284972191,000000015440.jpg,Why did n't the side of a street sign,"[""Why did n't the side of a street sign"", ""Because it's not a STOPPOINT."", ""Why can't you ever trust a cat"", 'because they are always cheetah', 'Q: Why do you need to be 18 to play UNO', 'A: Because the game invites 32.', 'Why was Marie Antoinette the first woman to']"
85,86,a sandwich on a plate with a table,0.007729100529104471,0.03393905237317085,000000015079.jpg,Why was a sandwich on a plate with a table inviting,"['Why was a sandwich on a plate with a table inviting', 'Because it was a sandwich. ;)', ""Why don't blondes like to go skiing"", 'They like to make up for a lack of snow in BAM!', ""Why can't you trick an unemployed jester"", ""He's never got any job."", ""Why can't you trick an unemployed jester""]"
86,87,a woman is standing next to a bunch of bananas,0.04912431165575981,0.11102455109357834,000000008844.jpg,Why was a woman standing to a bunch of bananas,"['Why was a woman standing to a bunch of bananas', 'She wanted to dance with them', ""Why can't you hear a pterodactyl when it pees"", 'Because the p is silent.', 'Why were the twins attracted to the odd woman', ""They couldn't even."", 'Why did the German Defuse Mechanic fail his driving test<eo']"
87,88,a bowl of food with broccoli and vegetables on a table,0.07220463454723358,0.13349342346191406,000000008277.jpg,Why had a bowl of food with broccoli and vegetables on a table befriended me,"['Why had a bowl of food with broccoli and vegetables on a table befriended me', 'It was creepy.', 'Q: why did the lion get lost in the jungle', 'A: because he was too lion', 'Why was Midway arrested', 'For Possession of Awebs', ""Why can't you hear a pterodactyl go pee"", 'Because it was']"
88,89,a bus is driving down a city street,0.01591474562883377,0.04922919347882271,000000015338.jpg,Why was a bus driving tractor,"['Why was a bus driving tractor', 'Because it wanted directions.', 'Why are there no cats on mars', ""Because the Curiosity killed the cat's paw."", 'Why do gay guys stay in shape', 'Because sex is what you have inside. Not sex from the closet.', 'Why do black people only have nightmares', 'Because we shot']"
89,90,a man and a woman holding a cell phone,0.06931573897600174,0.13015791773796082,000000016598.jpg,Why was a man and a woman holding a cell phone,"['Why was a man and a woman holding a cell phone', 'The man had a megaphone, and the woman was married.', 'Why did the girl put CDs on her cell phone', 'She wanted to listen in the shower.', 'Why did the blind woman fall in a well', ""She couldn't see that well"", 'Why was the man expelled from school<e']"
90,91,a group of zebras are standing in a field,0.06574153155088425,0.18833717703819275,000000016010.jpg,Why was a group of zebras standing in a field,"['Why was a group of zebras standing in a field', 'Because they wanted to be a buckhorn.', 'Why did the Italians name their new poutine """"Asiago""""', 'Asiago wanted to be a surfer. :D', 'Why the LGBT community is so obsolete now', 'They are all trans-affluencers.', ""Why are baseball player's league""]"
91,92,a group of people sitting at a table,0.008263290859758854,0.03454291447997093,000000009590.jpg,Why was a group of people sitting at a table,"['Why was a group of people sitting at a table', 'A: They were debating the size of the bulge.', 'Why do black people have nightmares', 'Because one had a dream and died', 'Why do so many sculptors live in fear', ""Because they're afraid of the bone (   )"", ""Why did the baker's hands smell<eo""]"
92,93,a group of people sitting on a bench in a street,0.08514686673879623,0.12634457647800446,000000016249.jpg,Why was a group of people sitting on a bench in a street,"['Why was a group of people sitting on a bench in a street', ""Because it's called a street, and they are tired of being called that."", 'Why did the NSA agent sleep under a tree', ""That's where the NSA showers"", 'Why did the rabbi go to the otter beach', 'To get a perfect score on the XMLePeche test.', 'Why']"
93,94,a group of people sitting at a table eating food,0.004835821222513914,0.023127418011426926,000000018380.jpg,Why was a group of people sitting a table <IN>_prep food,"['Why was a group of people sitting a table ', '_prep food', 'For the table.', 'Why do cows have hooves instead of feet', 'Because they lactose.', ""Why shouldn't you run through a campsite"", 'Because you crossed the ~epistemology~!', 'Why was six afraid of seven', 'Because seven is a registered six offender']"
94,95,a cat sitting on top of a television,0.08437131345272064,0.15079861879348755,000000014007.jpg,Why was a cat sitting on top of a television,"['Why was a cat sitting on top of a television', 'It wanted to watch the lioness eat it!', 'Why did the Mexican take xanax', 'For hispanic attacks.', 'Why did the pony make a phone call?', 'He was a little horse.', 'Why was the car waxing sad?', 'Because it was broke.<']"
95,96,a building with a fire hydrant sitting on the side of a building,0.11574584990739822,0.28454408049583435,000000008899.jpg,Why was a building with a fire hydrant sitting on the side of a building,"['Why was a building with a fire hydrant sitting on the side of a building', 'It was public. USGS', ""Q: Why don't people meet Santa on the side of volcanoes peaks"", 'A: Because he is not-to-be-quoted..', 'Why did the girl fall off her bike', 'Someone hit her on the head with a hammer.', 'Why should']"
96,97,a woman is standing next to a sheep,0.08349158614873886,0.1124148741364479,000000008690.jpg,Why was a woman standing to a sheep,"['Why was a woman standing to a sheep', 'Her boss was a sheep. *Waiter* For the job. *Waiter* ...', ""Why does the ocean roar whenever you're near its bottom"", 'Because the land shakes when the waves come.', 'Why is there no market for wheat in Africa', ""Because you can't buy it in America."", '\n<soq']"
97,98,a bedroom with a bed in a room with a window,0.0008188505307771266,0.00492505868896842,000000010995.jpg,Why has a bedroom with a bed in a room with a window never put money,"['Why has a bedroom with a bed in a room with a window never put money', 'Because no one wants to live in a world of panda[censored]! (smart move for a joke that will never please anyone)', 'Why did the hipster burn his tongue', 'He drank the coffee before it was cool', 'Why do women fake orgasms', 'Because they think we put on the balls first.', '<eoj']"
98,99,a woman walking down a city street with a traffic light,0.1276688426733017,0.24848072230815887,000000011197.jpg,Why was a woman walking down a city street with a traffic light,"['Why was a woman walking down a city street with a traffic light', 'She wanted some privacy.', 'Why is 7 afraid of 8', '(in case 8/11 conspiracy theorist says 8/11 alarmist somehow managed to get this far.... congrats..... )', 'Why did the koala get the job', 'She had koalifications!', 'Why did the bananas fall']"
99,100,a red truck is parked in the snow,0.15907250344753265,0.3320159614086151,000000009769.jpg,Why did a red truck parked,"['Why did a red truck parked', 'It was trying to trailer.', ""Why can't you tell secrets"", ""Because there is no 'OTP' signal."", 'Why Was The Pirate Caller Fired From The Prison cafeteria', 'He was caught uploading pirated content.', 'Why are people in engineer sad', 'They are in a Si-']"
